"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"GR000016716","HELLINIKON, GR","2021-01-01","0.0",,"12.5","17.4","9.4"
"GR000016716","HELLINIKON, GR","2021-01-02","0.0",,"13.3",,"10.3"
"GR000016716","HELLINIKON, GR","2021-01-03",,,"15.4","19.5","13.1"
"GR000016716","HELLINIKON, GR","2021-01-04",,,"15.8","17.8",
"GR000016716","HELLINIKON, GR","2021-01-05","0.0",,"13.1","16.7",
"GR000016716","HELLINIKON, GR","2021-01-06","0.0",,"13.7","18.1","9.6"
"GR000016716","HELLINIKON, GR","2021-01-07","0.0",,"14.5","19.3","12.0"
"GR000016716","HELLINIKON, GR","2021-01-08","0.0",,"16.3","20.0","13.8"
"GR000016716","HELLINIKON, GR","2021-01-09","1.0",,"17.4","22.4",
"GR000016716","HELLINIKON, GR","2021-01-10","0.0",,"17.4","20.6","14.4"
"GR000016716","HELLINIKON, GR","2021-01-11","0.0",,"19.1","22.1","17.3"
"GR000016716","HELLINIKON, GR","2021-01-12","0.0",,"17.2","20.1",
"GR000016716","HELLINIKON, GR","2021-01-13","0.0",,"12.7","15.4","9.4"
"GR000016716","HELLINIKON, GR","2021-01-14","0.0",,"10.5","13.9","8.2"
"GR000016716","HELLINIKON, GR","2021-01-15","0.0",,"9.1",,
"GR000016716","HELLINIKON, GR","2021-01-16","2.3",,"5.9",,
"GR000016716","HELLINIKON, GR","2021-01-17","14.2",,"3.1","5.7","1.1"
"GR000016716","HELLINIKON, GR","2021-01-18","0.0",,"4.9","7.0","1.3"
"GR000016716","HELLINIKON, GR","2021-01-19","0.0",,"4.8","10.1","1.1"
"GR000016716","HELLINIKON, GR","2021-01-20","0.0",,"7.5","13.6","2.0"
"GR000016716","HELLINIKON, GR","2021-01-21","0.0",,"11.2","17.1","7.6"
"GR000016716","HELLINIKON, GR","2021-01-22","0.0",,"12.6",,"9.3"
"GR000016716","HELLINIKON, GR","2021-01-23","0.0",,"14.1","16.6","11.8"
"GR000016716","HELLINIKON, GR","2021-01-24","5.1",,"12.4","17.6",
"GR000016716","HELLINIKON, GR","2021-01-25","0.0",,"15.3","19.0",
"GR000016716","HELLINIKON, GR","2021-01-26","0.0",,"14.3","16.1",
"GR000016716","HELLINIKON, GR","2021-01-27","10.9",,"7.7",,
"GR000016716","HELLINIKON, GR","2021-01-28","0.0",,"6.4","9.7","3.5"
"GR000016716","HELLINIKON, GR","2021-01-29","0.0",,"10.4","16.7","4.1"
"GR000016716","HELLINIKON, GR","2021-01-30","0.0",,"14.9","19.6","9.9"
"GR000016716","HELLINIKON, GR","2021-01-31","0.0",,"14.2","19.1","9.2"
"GR000016716","HELLINIKON, GR","2021-02-01",,,"15.3","17.1",
"GR000016716","HELLINIKON, GR","2021-02-02","0.0",,"14.7","20.1","11.6"
"GR000016716","HELLINIKON, GR","2021-02-03","0.0",,"14.0","19.5","9.8"
"GR000016716","HELLINIKON, GR","2021-02-04","0.0",,"14.5","19.7","10.9"
"GR000016716","HELLINIKON, GR","2021-02-05","0.0",,"14.2","21.0","10.6"
"GR000016716","HELLINIKON, GR","2021-02-06","0.0",,"14.8","21.1","10.1"
"GR000016716","HELLINIKON, GR","2021-02-07","0.0",,"15.9","22.4","11.6"
"GR000016716","HELLINIKON, GR","2021-02-08",,,"17.0","19.8","15.6"
"GR000016716","HELLINIKON, GR","2021-02-09","0.0",,"15.5","20.4","12.2"
"GR000016716","HELLINIKON, GR","2021-02-10","0.5",,"13.0",,"10.7"
"GR000016716","HELLINIKON, GR","2021-02-13","0.0",,"10.6","11.6",
"GR000016716","HELLINIKON, GR","2021-02-14","3.8",,"6.2",,
"GR000016716","HELLINIKON, GR","2021-02-15","0.8",,"2.7","5.3","0.7"
"GR000016716","HELLINIKON, GR","2021-02-16","4.3",,"0.4","1.7","-0.4"
"GR000016716","HELLINIKON, GR","2021-02-17","0.0",,"4.2","9.2","0.6"
"GR000016716","HELLINIKON, GR","2021-02-18","0.0",,"8.6","14.6","3.3"
"GR000016716","HELLINIKON, GR","2021-02-19","0.0",,"7.7",,"5.0"
"GR000016716","HELLINIKON, GR","2021-02-22","0.0",,"10.8","17.7","5.2"
"GR000016716","HELLINIKON, GR","2021-02-23","0.0",,"12.5","20.3","6.7"
"GR000016716","HELLINIKON, GR","2021-02-24",,,"14.3","21.7","8.2"
"GR000016716","HELLINIKON, GR","2021-02-25","0.0",,"14.3","18.2","11.8"
"GR000016716","HELLINIKON, GR","2021-02-26","0.0",,"14.5","19.9",
"GR000016716","HELLINIKON, GR","2021-02-27","0.0",,"13.4","20.6","9.0"
"GR000016716","HELLINIKON, GR","2021-02-28","0.0",,"13.0","16.0","9.2"
"GR000016716","HELLINIKON, GR","2021-03-01","0.0",,"11.6","16.8","6.9"
"GR000016716","HELLINIKON, GR","2021-03-02","0.0",,"10.2","12.8",
"GR000016716","HELLINIKON, GR","2021-03-03","0.0",,"11.8","17.3","5.1"
"GR000016716","HELLINIKON, GR","2021-03-04","0.0",,"12.6","19.9","6.7"
"GR000016716","HELLINIKON, GR","2021-03-05","0.0",,"14.0","20.2","9.4"
"GR000016716","HELLINIKON, GR","2021-03-06",,,"15.4","19.7","12.3"
"GR000016716","HELLINIKON, GR","2021-03-07",,,"12.3","14.4",
"GR000016716","HELLINIKON, GR","2021-03-08","0.0",,"13.1","17.3","10.2"
"GR000016716","HELLINIKON, GR","2021-03-09","0.0",,"14.2","20.0","11.5"
"GR000016716","HELLINIKON, GR","2021-03-10","0.0",,"15.0","20.3","10.1"
"GR000016716","HELLINIKON, GR","2021-03-11","0.0",,"11.7",,
"GR000016716","HELLINIKON, GR","2021-03-12","0.0",,"10.9","16.2","5.9"
"GR000016716","HELLINIKON, GR","2021-03-13","0.0",,"13.3","17.6","8.4"
"GR000016716","HELLINIKON, GR","2021-03-14","0.0",,"13.8","17.4",
"GR000016716","HELLINIKON, GR","2021-03-15","0.0",,"12.9","19.8","9.7"
"GR000016716","HELLINIKON, GR","2021-03-16","0.0",,"12.7","16.4","9.8"
"GR000016716","HELLINIKON, GR","2021-03-17","0.0",,"12.5","17.7","8.6"
"GR000016716","HELLINIKON, GR","2021-03-18","0.0",,"12.6","18.0","7.4"
"GR000016716","HELLINIKON, GR","2021-03-19","0.3",,"14.0","19.2","10.0"
"GR000016716","HELLINIKON, GR","2021-03-20","0.0",,"14.3","19.0","11.4"
"GR000016716","HELLINIKON, GR","2021-03-21",,,"15.3","18.6","12.9"
"GR000016716","HELLINIKON, GR","2021-03-22",,,"16.0","21.7","13.4"
"GR000016716","HELLINIKON, GR","2021-03-23","0.0",,"10.4",,
"GR000016716","HELLINIKON, GR","2021-03-24","0.5",,"9.3","14.4",
"GR000016716","HELLINIKON, GR","2021-03-25","0.0",,"7.1","11.0","4.3"
"GR000016716","HELLINIKON, GR","2021-03-26","0.0",,"9.9","15.7","3.6"
"GR000016716","HELLINIKON, GR","2021-03-27","0.0",,"12.2","18.3","7.2"
"GR000016716","HELLINIKON, GR","2021-03-28","0.0",,"13.8","20.2","8.6"
"GR000016716","HELLINIKON, GR","2021-03-29","0.0",,"15.3","22.4","8.5"
"GR000016716","HELLINIKON, GR","2021-03-30","0.0",,"14.7","18.0",
"GR000016716","HELLINIKON, GR","2021-03-31","1.5",,"10.0","12.1","8.2"
"GR000016716","HELLINIKON, GR","2021-04-01","1.8",,"10.3",,
"GR000016716","HELLINIKON, GR","2021-04-02","0.0",,"14.4","20.9","6.7"
"GR000016716","HELLINIKON, GR","2021-04-03","0.0",,"17.2","22.4","12.6"
"GR000016716","HELLINIKON, GR","2021-04-04","0.0",,"18.3","22.8","15.0"
"GR000016716","HELLINIKON, GR","2021-04-05","0.5",,"15.7","18.2",
"GR000016716","HELLINIKON, GR","2021-04-06","0.0",,"16.6","21.9","12.3"
"GR000016716","HELLINIKON, GR","2021-04-07","0.0",,"17.6","23.6","13.4"
"GR000016716","HELLINIKON, GR","2021-04-08","0.0",,"13.4","18.7",
"GR000016716","HELLINIKON, GR","2021-04-09","0.0",,"10.3","14.9","5.8"
"GR000016716","HELLINIKON, GR","2021-04-10","0.0",,"11.7","17.6","5.6"
"GR000016716","HELLINIKON, GR","2021-04-11",,,"13.3","19.2","8.3"
"GR000016716","HELLINIKON, GR","2021-04-12","0.0",,"14.9","21.0","8.6"
"GR000016716","HELLINIKON, GR","2021-04-13","0.0",,"15.7","22.1","11.0"
"GR000016716","HELLINIKON, GR","2021-04-14","0.0",,"16.1","22.5","10.6"
"GR000016716","HELLINIKON, GR","2021-04-15","0.0",,"16.4","21.2","10.7"
