latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-34.28575,146.12187,300.8,1.09,1.04,2023-04-20,0009,T,42,6.1NRT,289.25,3.96,D
-34.28727,146.13365,311.5,1.09,1.04,2023-04-20,0009,T,71,6.1NRT,289.79,11.6,D
-34.29202,146.12627,302.38,1.09,1.04,2023-04-20,0009,T,52,6.1NRT,289.28,5.38,D
-34.43086,146.86087,302.05,1.17,1.08,2023-04-20,0009,T,42,6.1NRT,290.62,4.35,D
-34.63159,148.43233,301.85,1.41,1.18,2023-04-20,0009,T,49,6.1NRT,290.27,6.5,D
-34.50967,142.3483,304.6,1.04,1.02,2023-04-20,0009,T,58,6.1NRT,290.42,5.81,D
-34.51145,142.3595,304.87,1.04,1.02,2023-04-20,0009,T,59,6.1NRT,290.73,6.32,D
-35.45475,144.42717,304.86,1.01,1.01,2023-04-20,0009,T,60,6.1NRT,290.72,5.7,D
-35.98375,145.43056,305.16,1.07,1.03,2023-04-20,0009,T,61,6.1NRT,290.04,6.39,D
-35.74499,142.26242,304.29,1.03,1.01,2023-04-20,0009,T,58,6.1NRT,291.72,3.92,D
-36.00462,143.49884,303.48,1,1,2023-04-20,0009,T,56,6.1NRT,290.74,3.97,D
-36.2583,143.5959,301.92,1,1,2023-04-20,0009,T,39,6.1NRT,289.9,3.53,D
-36.25988,143.60693,302.75,1,1,2023-04-20,0009,T,45,6.1NRT,290.92,4.07,D
-38.21375,142.15541,303.76,1.01,1,2023-04-20,0011,T,57,6.1NRT,286.17,6.38,D
-6.371,155.40126,314.04,1.71,1.28,2023-04-20,0003,T,55,6.1NRT,299.26,17.1,D
-22.79017,150.64177,310.58,1.35,1.15,2023-04-20,0007,T,55,6.1NRT,296.87,11.13,D
-22.72852,147.63434,317.79,1.01,1.01,2023-04-20,0007,T,71,6.1NRT,299.34,10.43,D
-22.72989,147.64407,318.15,1.01,1.01,2023-04-20,0007,T,72,6.1NRT,298.67,10.68,D
-23.50669,150.25819,313.16,1.31,1.14,2023-04-20,0007,T,59,6.1NRT,300.8,8.89,D
-23.50826,150.27092,340.37,1.31,1.14,2023-04-20,0007,T,90,6.1NRT,302.19,56.89,D
-23.61294,149.41061,314.75,1.18,1.08,2023-04-20,0007,T,66,6.1NRT,298.69,8.99,D
-23.61529,149.40439,314.1,1.18,1.08,2023-04-20,0007,T,66,6.1NRT,299.08,8.88,D
-23.69025,149.04276,308.56,1.14,1.06,2023-04-20,0007,T,40,6.1NRT,295.55,5.98,D
-25.36089,152.72926,309.99,2.03,1.39,2023-04-20,0007,T,63,6.1NRT,295.36,18.62,D
-24.79165,147.79176,312.83,1.05,1.02,2023-04-20,0007,T,39,6.1NRT,289.66,8.52,D
-25.36296,152.72243,310.14,2.03,1.39,2023-04-20,0007,T,65,6.1NRT,295.26,19.08,D
-25.31905,149.2075,312.37,1.21,1.09,2023-04-20,0007,T,66,6.1NRT,294.52,9.78,D
-26.31048,145.96193,316.97,1,1,2023-04-20,0007,T,65,6.1NRT,298.96,6.09,D
-26.31939,145.96036,325.96,1,1,2023-04-20,0007,T,79,6.1NRT,301.62,15.23,D
